EventWall_ns,RowType,Source_Index,Source_WallClock_ns,HQ_Index,HQ_WallClock_ns,WallTimeDifference_ns,WallTimeDifference_ms
1784219383847534231,MATCHED,238,1784219383847534231,266,1784219383859745698,-12211467,-12.211467
1784219383881334618,MATCHED,239,1784219383881334618,267,1784219383890053501,-8718883,-8.718883
1784219383926822043,MATCHED,240,1784219383926822043,268,1784219383924920673,1901370,1.901370
1784219383952325874,MATCHED,241,1784219383952325874,269,1784219383960319209,-7993335,-7.993335
1784219383982112934,MATCHED,242,1784219383982112934,270,1784219383990438608,-8325674,-8.325674
1784219384014944221,MATCHED,243,1784219384014944221,271,1784219384023041624,-8097403,-8.097403
1784219384046943313,MATCHED,244,1784219384046943313,272,1784219384056073726,-9130413,-9.130413
1784219384081392823,MATCHED,245,1784219384081392823,273,1784219384091711093,-10318270,-10.318270
1784219384113263842,MATCHED,246,1784219384113263842,274,1784219384122661055,-9397213,-9.397213
1784219384146094888,MATCHED,247,1784219384146094888,275,1784219384156357797,-10262909,-10.262909
1784219384179398855,MATCHED,248,1784219384179398855,276,1784219384189237902,-9839047,-9.839047
1784219384212738043,MATCHED,249,1784219384212738043,277,1784219384222662148,-9924105,-9.924105
1784219384245867901,MATCHED,250,1784219384245867901,278,1784219384258747916,-12880015,-12.880015
1784219384279296588,MATCHED,251,1784219384279296588,279,1784219384289938394,-10641806,-10.641806
1784219384314515441,MATCHED,252,1784219384314515441,280,1784219384323220030,-8704589,-8.704589
1784219384345870189,MATCHED,253,1784219384345870189,281,1784219384356995087,-11124898,-11.124898
1784219384380454271,MATCHED,254,1784219384380454271,282,1784219384389282754,-8828483,-8.828483
1784219384415822789,MATCHED,255,1784219384415822789,283,1784219384422870054,-7047265,-7.047265
1784219384446800040,MATCHED,256,1784219384446800040,284,1784219384455825139,-9025099,-9.025099
1784219384480418651,MATCHED,257,1784219384480418651,285,1784219384489130646,-8711995,-8.711995
1784219384514251075,MATCHED,258,1784219384514251075,286,1784219384522519077,-8268002,-8.268002
1784219384545873320,MATCHED,259,1784219384545873320,287,1784219384556220912,-10347592,-10.347592
1784219384579814020,MATCHED,260,1784219384579814020,288,1784219384589332847,-9518827,-9.518827
1784219384613222486,MATCHED,261,1784219384613222486,289,1784219384622568133,-9345647,-9.345647
1784219384646412694,MATCHED,262,1784219384646412694,290,1784219384655830307,-9417613,-9.417613
1784219384679817326,MATCHED,263,1784219384679817326,291,1784219384689184868,-9367542,-9.367542
1784219384712563429,MATCHED,264,1784219384712563429,292,1784219384722561911,-9998482,-9.998482
1784219384746359890,MATCHED,265,1784219384746359890,293,1784219384758239777,-11879887,-11.879887
1784219384779665245,MATCHED,266,1784219384779665245,294,1784219384789159369,-9494124,-9.494124
1784219384812971194,MATCHED,267,1784219384812971194,295,1784219384822915574,-9944380,-9.944380
1784219384845759610,MATCHED,268,1784219384845759610,296,1784219384856792740,-11033130,-11.033130
1784219384879677533,MATCHED,269,1784219384879677533,297,1784219384889426829,-9749296,-9.749296
1784219384913135331,MATCHED,270,1784219384913135331,298,1784219384921660905,-8525574,-8.525574
1784219384947166716,MATCHED,271,1784219384947166716,299,1784219384955734346,-8567630,-8.567630
1784219384979219233,MATCHED,272,1784219384979219233,300,1784219385000916352,-21697119,-21.697119
1784219385013056157,MATCHED,273,1784219385013056157,300,1784219385000916352,12139805,12.139805
1784219385046459937,MATCHED,274,1784219385046459937,302,1784219385060709618,-14249681,-14.249681
1784219385078879766,MATCHED,275,1784219385078879766,303,1784219385088191605,-9311839,-9.311839
1784219385113036038,MATCHED,276,1784219385113036038,304,1784219385121039192,-8003154,-8.003154
1784219385146102451,MATCHED,277,1784219385146102451,305,1784219385154890988,-8788537,-8.788537
1784219385178891998,MATCHED,278,1784219385178891998,306,1784219385188227624,-9335626,-9.335626
1784219385214688993,MATCHED,279,1784219385214688993,307,1784219385220882639,-6193646,-6.193646
1784219385246881008,MATCHED,280,1784219385246881008,308,1784219385254663806,-7782798,-7.782798
1784219385279576019,MATCHED,281,1784219385279576019,309,1784219385288096181,-8520162,-8.520162
1784219385313467331,MATCHED,282,1784219385313467331,310,1784219385321365892,-7898561,-7.898561
1784219385346204119,MATCHED,283,1784219385346204119,311,1784219385356591097,-10386978,-10.386978
1784219385379535103,MATCHED,284,1784219385379535103,312,1784219385388559398,-9024295,-9.024295
1784219385412171337,MATCHED,285,1784219385412171337,313,1784219385421744962,-9573625,-9.573625
1784219385446620809,MATCHED,286,1784219385446620809,314,1784219385455279484,-8658675,-8.658675
1784219385479593317,MATCHED,287,1784219385479593317,315,1784219385490211878,-10618561,-10.618561
1784219385512170884,MATCHED,288,1784219385512170884,316,1784219385523170797,-10999913,-10.999913
1784219385547110684,MATCHED,289,1784219385547110684,317,1784219385555568518,-8457834,-8.457834
1784219385579411921,MATCHED,290,1784219385579411921,318,1784219385591151626,-11739705,-11.739705
1784219385612182727,MATCHED,291,1784219385612182727,319,1784219385622132755,-9950028,-9.950028
1784219385648101869,MATCHED,292,1784219385648101869,320,1784219385655797331,-7695462,-7.695462
1784219385678722309,MATCHED,293,1784219385678722309,321,1784219385690237027,-11514718,-11.514718
1784219385712845822,MATCHED,294,1784219385712845822,322,1784219385723937510,-11091688,-11.091688
1784219385745558518,MATCHED,295,1784219385745558518,323,1784219385760337774,-14779256,-14.779256
1784219385780547206,MATCHED,296,1784219385780547206,324,1784219385793789038,-13241832,-13.241832
1784219385817258691,MATCHED,297,1784219385817258691,325,1784219385824948609,-7689918,-7.689918
1784219385848905139,MATCHED,298,1784219385848905139,326,1784219385858383762,-9478623,-9.478623
1784219385880890157,MATCHED,299,1784219385880890157,327,1784219385890948908,-10058751,-10.058751
1784219385918805592,MATCHED,300,1784219385918805592,328,1784219385922667175,-3861583,-3.861583
